,W,L
2019,29,53
2018,24,58
2017,43,39
2016,48,34
2015,60,22
2014,38,44
2013,44,38
2012,40,26
2011,44,38
2010,53,29
2009,47,35
2008,37,45
2007,30,52
2006,26,56
2005,13,69
2004,28,54
2003,35,47
2002,33,49
2001,25,57
2000,28,54
1999,31,19
1998,50,32
1997,56,26
1996,46,36
1995,42,40
1994,57,25
1993,43,39
1992,38,44
1991,43,39
1990,41,41
1989,52,30
1988,50,32
1987,57,25
1986,50,32
1985,34,48
1984,40,42
1983,43,39
1982,42,40
1981,31,51
1980,50,32
1979,46,36
1978,41,41
1977,31,51
1976,29,53
1975,31,51
1974,35,47
1973,46,36
1972,36,46
1971,36,46
1970,48,34
1969,48,34
1968,56,26
1967,39,42
1966,36,44
1965,45,35
1964,46,34
1963,48,32
1962,29,51
1961,51,28
1960,46,29
1959,49,23
1958,41,31
1957,34,38
1956,33,39
1955,26,46
1954,21,51
1953,27,44
1952,17,49
1951,25,43
1950,29,35
