,W,L
2019,49,33
2018,55,27
2017,53,29
2016,48,34
2015,40,42
2014,25,57
2013,41,40
2012,39,27
2011,56,26
2010,50,32
2009,62,20
2008,66,16
2007,24,58
2006,33,49
2005,45,37
2004,36,46
2003,44,38
2002,49,33
2001,36,46
2000,35,47
1999,19,31
1998,36,46
1997,15,67
1996,33,49
1995,35,47
1994,32,50
1993,48,34
1992,51,31
1991,56,26
1990,52,30
1989,42,40
1988,57,25
1987,59,23
1986,67,15
1985,63,19
1984,62,20
1983,56,26
1982,63,19
1981,62,20
1980,61,21
1979,29,53
1978,32,50
1977,44,38
1976,54,28
1975,60,22
1974,56,26
1973,68,14
1972,56,26
1971,44,38
1970,34,48
1969,48,34
1968,54,28
1967,60,21
1966,54,26
1965,62,18
1964,59,21
1963,58,22
1962,60,20
1961,57,22
1960,59,16
1959,52,20
1958,49,23
1957,44,28
1956,39,33
1955,36,36
1954,42,30
1953,46,25
1952,39,27
1951,39,30
1950,22,46
1949,25,35
1948,20,28
1947,22,38
