,W,L
2019,22,60
2018,27,55
2017,41,41
2016,42,40
2015,50,32
2014,48,34
2013,45,37
2012,50,16
2011,62,20
2010,41,41
2009,41,41
2008,33,49
2007,49,33
2006,41,41
2005,47,35
2004,23,59
2003,30,52
2002,21,61
2001,15,67
2000,17,65
1999,13,37
1998,62,20
1997,69,13
1996,72,10
1995,47,35
1994,55,27
1993,57,25
1992,67,15
1991,61,21
1990,55,27
1989,47,35
1988,50,32
1987,40,42
1986,30,52
1985,38,44
1984,27,55
1983,28,54
1982,34,48
1981,45,37
1980,30,52
1979,31,51
1978,40,42
1977,44,38
1976,24,58
1975,47,35
1974,54,28
1973,51,31
1972,57,25
1971,51,31
1970,39,43
1969,33,49
1968,29,53
1967,33,48
