,W,L
2019,19,63
2018,50,32
2017,51,31
2016,57,25
2015,53,29
2014,33,49
2013,24,58
2012,21,45
2011,19,63
2010,61,21
2009,66,16
2008,45,37
2007,50,32
2006,50,32
2005,42,40
2004,35,47
2003,17,65
2002,29,53
2001,30,52
2000,32,50
1999,22,28
1998,47,35
1997,42,40
1996,47,35
1995,43,39
1994,47,35
1993,54,28
1992,57,25
1991,33,49
1990,42,40
1989,57,25
1988,42,40
1987,31,51
1986,29,53
1985,36,46
1984,28,54
1983,23,59
1982,15,67
1981,28,54
1980,37,45
1979,30,52
1978,43,39
1977,43,39
1976,49,33
1975,40,42
1974,29,53
1973,32,50
1972,23,59
1971,15,67
