,W,L
2019,41,41
2018,39,43
2017,37,45
2016,44,38
2015,32,50
2014,29,53
2013,29,53
2012,25,41
2011,30,52
2010,27,55
2009,39,43
2008,59,23
2007,53,29
2006,64,18
2005,54,28
2004,54,28
2003,50,32
2002,50,32
2001,32,50
2000,42,40
1999,29,21
1998,37,45
1997,54,28
1996,46,36
1995,28,54
1994,20,62
1993,40,42
1992,48,34
1991,50,32
1990,59,23
1989,63,19
1988,54,28
1987,52,30
1986,46,36
1985,46,36
1984,49,33
1983,37,45
1982,39,43
1981,21,61
1980,16,66
1979,30,52
1978,38,44
1977,44,38
1976,36,46
1975,40,42
1974,52,30
1973,40,42
1972,26,56
1971,45,37
1970,31,51
1969,32,50
1968,40,42
1967,30,51
1966,22,58
1965,31,49
1964,23,57
1963,34,46
1962,37,43
1961,34,45
1960,30,45
1959,28,44
1958,33,39
1957,34,38
1956,37,35
1955,43,29
1954,40,32
1953,36,33
1952,29,37
1951,32,36
1950,s,40
1949,s,22
