,W,L
2019,57,25
2018,58,24
2017,67,15
2016,73,9
2015,67,15
2014,51,31
2013,47,35
2012,23,43
2011,36,46
2010,26,56
2009,29,53
2008,48,34
2007,42,40
2006,34,48
2005,34,48
2004,37,45
2003,38,44
2002,21,61
2001,17,65
2000,19,63
1999,21,29
1998,19,63
1997,30,52
1996,36,46
1995,26,56
1994,50,32
1993,34,48
1992,55,27
1991,44,38
1990,37,45
1989,43,39
1988,20,62
1987,42,40
1986,30,52
1985,22,60
1984,37,45
1983,30,52
1982,45,37
1981,39,43
1980,24,58
1979,38,44
1978,43,39
1977,46,36
1976,59,23
1975,48,34
1974,44,38
1973,47,35
1972,51,31
1971,41,41
1970,30,52
1969,41,41
1968,43,39
1967,44,37
1966,35,45
1965,17,63
1964,48,32
1963,31,49
1962,49,31
1961,46,33
1960,49,26
1959,32,40
1958,37,35
1957,37,35
1956,45,27
1955,33,39
1954,29,43
1953,12,57
1952,33,33
1951,40,26
1950,26,42
1949,28,32
1948,27,21
1947,35,25
