,W,L
2019,53,29
2018,65,17
2017,55,27
2016,41,41
2015,56,26
2014,54,28
2013,45,37
2012,34,32
2011,43,39
2010,42,40
2009,53,29
2008,55,27
2007,52,30
2006,34,48
2005,51,31
2004,45,37
2003,43,39
2002,28,54
2001,45,37
2000,34,48
1999,31,19
1998,41,41
1997,57,25
1996,48,34
1995,47,35
1994,58,24
1993,55,27
1992,42,40
1991,52,30
1990,41,41
1989,45,37
1988,46,36
1987,42,40
1986,51,31
1985,48,34
1984,29,53
1983,14,68
1982,46,36
1981,40,42
1980,41,41
1979,47,35
1978,28,54
1977,49,33
1976,40,42
1975,41,41
1974,32,50
1973,33,49
1972,34,48
1971,40,42
1970,27,55
1969,37,45
1968,15,67
