,W,L
2019,48,34
2018,42,40
2017,51,31
2016,53,29
2015,56,26
2014,57,25
2013,56,26
2012,40,26
2011,32,50
2010,29,53
2009,19,63
2008,23,59
2007,40,42
2006,47,35
2005,37,45
2004,28,54
2003,27,55
2002,39,43
2001,31,51
2000,15,67
1999,9,41
1998,17,65
1997,36,46
1996,29,53
1995,17,65
1994,27,55
1993,41,41
1992,45,37
1991,31,51
1990,30,52
1989,21,61
1988,17,65
1987,12,70
1986,32,50
1985,31,51
1984,30,52
1983,25,57
1982,17,65
1981,36,46
1980,35,47
1979,43,39
1978,27,55
1977,30,52
1976,46,36
1975,49,33
1974,42,40
1973,21,61
1972,22,60
1971,22,60
