,W,L
2019,37,45
2018,35,47
2017,26,56
2016,17,65
2015,21,61
2014,27,55
2013,45,37
2012,41,25
2011,57,25
2010,57,25
2009,65,17
2008,57,25
2007,42,40
2006,45,37
2005,34,48
2004,56,26
2003,50,32
2002,58,24
2001,56,26
2000,67,15
1999,31,19
1998,61,21
1997,56,26
1996,53,29
1995,48,34
1994,33,49
1993,39,43
1992,43,39
1991,58,24
1990,63,19
1989,57,25
1988,62,20
1987,65,17
1986,62,20
1985,62,20
1984,54,28
1983,58,24
1982,57,25
1981,54,28
1980,60,22
1979,47,35
1978,45,37
1977,53,29
1976,40,42
1975,30,52
1974,47,35
1973,60,22
1972,69,13
1971,48,34
1970,46,36
1969,55,27
1968,52,30
1967,36,45
1966,45,35
1965,49,31
1964,42,38
1963,53,27
1962,54,26
1961,36,43
1960,25,50
1959,33,39
1958,19,53
1957,34,38
1956,33,39
1955,40,32
1954,46,26
1953,48,22
1952,40,26
1951,44,24
1950,51,17
1949,44,16
