,W,L
2019,60,22
2018,44,38
2017,42,40
2016,33,49
2015,41,41
2014,15,67
2013,38,44
2012,31,35
2011,35,47
2010,46,36
2009,34,48
2008,26,56
2007,28,54
2006,40,42
2005,30,52
2004,41,41
2003,42,40
2002,41,41
2001,52,30
2000,42,40
1999,28,22
1998,36,46
1997,33,49
1996,25,57
1995,34,48
1994,20,62
1993,28,54
1992,31,51
1991,48,34
1990,44,38
1989,49,33
1988,42,40
1987,50,32
1986,57,25
1985,59,23
1984,50,32
1983,51,31
1982,55,27
1981,60,22
1980,49,33
1979,38,44
1978,44,38
1977,30,52
1976,38,44
1975,38,44
1974,59,23
1973,60,22
1972,63,19
1971,66,16
1970,56,26
1969,27,55
