,W,L
2019,17,65
2018,29,53
2017,31,51
2016,32,50
2015,17,65
2014,37,45
2013,54,28
2012,36,30
2011,42,40
2010,29,53
2009,32,50
2008,23,59
2007,33,49
2006,23,59
2005,33,49
2004,39,43
2003,37,45
2002,30,52
2001,48,34
2000,50,32
1999,27,23
1998,43,39
1997,57,25
1996,47,35
1995,55,27
1994,57,25
1993,60,22
1992,51,31
1991,39,43
1990,45,37
1989,52,30
1988,38,44
1987,24,58
1986,23,59
1985,24,58
1984,47,35
1983,44,38
1982,33,49
1981,50,32
1980,39,43
1979,31,51
1978,43,39
1977,40,42
1976,38,44
1975,40,42
1974,49,33
1973,57,25
1972,48,34
1971,52,30
1970,60,22
1969,54,28
1968,43,39
1967,36,45
1966,30,50
1965,31,49
1964,22,58
1963,21,59
1962,29,51
1961,21,58
1960,27,48
1959,40,32
1958,35,37
1957,36,36
1956,35,37
1955,38,34
1954,44,28
1953,47,23
1952,37,29
1951,36,30
1950,40,28
1949,32,28
1948,26,22
1947,33,27
