,W,L
2019,49,33
2018,48,34
2017,47,35
2016,55,27
2015,45,37
2014,59,23
2013,60,22
2012,47,19
2011,55,27
2010,50,32
2009,23,59
2008,20,62
2007,31,51
2006,35,47
2005,52,30
2004,37,45
2003,40,42
2002,45,37
2001,44,38
2000,45,37
1999,25,25
1998,61,21
1997,57,25
1996,64,18
1995,57,25
1994,63,19
1993,55,27
1992,47,35
1991,41,41
1990,41,41
1989,47,35
1988,44,38
1987,39,43
1986,31,51
1985,31,51
1984,42,40
1983,48,34
1982,52,30
1981,34,48
1980,56,26
1979,52,30
1978,47,35
1977,40,42
1976,43,39
1975,43,39
1974,36,46
1973,26,56
1972,47,35
1971,38,44
1970,36,46
1969,30,52
1968,23,59
