,W,L
2019,51,31
2018,52,30
2017,28,54
2016,10,72
2015,18,64
2014,19,63
2013,34,48
2012,35,31
2011,41,41
2010,27,55
2009,41,41
2008,40,42
2007,35,47
2006,38,44
2005,43,39
2004,33,49
2003,48,34
2002,43,39
2001,56,26
2000,49,33
1999,28,22
1998,31,51
1997,22,60
1996,18,64
1995,24,58
1994,25,57
1993,26,56
1992,35,47
1991,44,38
1990,53,29
1989,46,36
1988,36,46
1987,45,37
1986,54,28
1985,58,24
1984,52,30
1983,65,17
1982,58,24
1981,62,20
1980,59,23
1979,47,35
1978,55,27
1977,50,32
1976,46,36
1975,34,48
1974,25,57
1973,9,73
1972,30,52
1971,47,35
1970,42,40
1969,55,27
1968,62,20
1967,68,13
1966,55,25
1965,40,40
1964,34,46
1963,48,32
1962,41,39
1961,38,41
1960,45,30
1959,35,37
1958,41,31
1957,38,34
1956,35,37
1955,43,29
1954,42,30
1953,47,24
1952,40,26
1951,32,34
1950,51,13
