,W,L
2019,19,63
2018,21,61
2017,24,58
2016,23,59
2015,39,43
2014,48,34
2013,25,57
2012,33,33
2011,40,42
2010,54,28
2009,46,36
2008,55,27
2007,61,21
2006,54,28
2005,62,20
2004,29,53
2003,44,38
2002,36,46
2001,51,31
2000,53,29
1999,27,23
1998,56,26
1997,40,42
1996,41,41
1995,59,23
1994,56,26
1993,62,20
1992,53,29
1991,55,27
1990,54,28
1989,55,27
1988,28,54
1987,36,46
1986,32,50
1985,36,46
1984,41,41
1983,53,29
1982,46,36
1981,57,25
1980,55,27
1979,50,32
1978,49,33
1977,34,48
1976,42,40
1975,32,50
1974,30,52
1973,38,44
1972,49,33
1971,48,34
1970,39,43
1969,16,66
