,W,L
2019,53,29
2018,49,33
2017,41,41
2016,44,38
2015,51,31
2014,54,28
2013,33,49
2012,28,38
2011,48,34
2010,50,32
2009,54,28
2008,41,41
2007,32,50
2006,21,61
2005,27,55
2004,41,41
2003,50,32
2002,49,33
2001,50,32
2000,59,23
1999,35,15
1998,46,36
1997,49,33
1996,44,38
1995,44,38
1994,47,35
1993,51,31
1992,57,25
1991,63,19
1990,59,23
1989,39,43
1988,53,29
1987,49,33
1986,40,42
1985,42,40
1984,48,34
1983,46,36
1982,42,40
1981,45,37
1980,38,44
1979,45,37
1978,58,24
1977,49,33
1976,37,45
1975,38,44
1974,27,55
1973,21,61
1972,18,64
1971,29,53
