,W,L
2019,39,43
2018,27,55
2017,32,50
2016,33,49
2015,29,53
2014,28,54
2013,28,54
2012,22,44
2011,24,58
2010,25,57
2009,17,65
2008,38,44
2007,33,49
2006,44,38
2005,50,32
2004,55,27
2003,59,23
2002,61,21
2001,55,27
2000,44,38
1999,27,23
1998,27,55
1997,34,48
1996,39,43
1995,39,43
1994,28,54
1993,25,57
1992,29,53
1991,25,57
1990,23,59
1989,27,55
1988,24,58
1987,29,53
1986,37,45
1985,31,51
1984,38,44
1983,45,37
1982,30,52
1981,40,42
1980,47,35
1979,48,34
1978,31,51
1977,40,42
1976,31,51
1975,44,38
1974,33,49
1973,36,46
1972,30,52
1971,33,49
1970,36,46
1969,41,41
1968,39,43
1967,39,42
1966,45,35
1965,48,32
1964,55,25
1963,42,38
1962,43,37
1961,33,46
1960,19,56
1959,19,53
1958,33,39
1957,31,41
1956,31,41
1955,29,43
1954,44,28
1953,44,26
1952,41,25
1951,41,27
1950,51,17
1949,45,15
