,W,L
2019,50,32
2018,48,34
2017,51,31
2016,40,42
2015,38,44
2014,25,57
2013,43,39
2012,36,30
2011,39,43
2010,53,29
2009,48,34
2008,54,28
2007,51,31
2006,41,41
2005,26,56
2004,42,40
2003,47,35
2002,44,38
2001,53,29
2000,55,27
1999,37,13
1998,62,20
1997,64,18
1996,55,27
1995,60,22
1994,53,29
1993,47,35
1992,55,27
1991,54,28
1990,55,27
1989,51,31
1988,47,35
1987,44,38
1986,42,40
1985,41,41
1984,45,37
1983,30,52
1982,25,57
1981,28,54
1980,24,58
1979,26,56
1978,39,43
1977,35,47
1976,38,44
1975,23,59
