,W,L
2019,32,50
2018,43,39
2017,49,33
2016,41,41
2015,46,36
2014,44,38
2013,29,53
2012,20,46
2011,23,59
2010,26,56
2009,19,63
2008,43,39
2007,41,41
2006,42,40
2005,45,37
2004,25,57
2003,37,45
2002,37,45
2001,19,63
2000,29,53
1999,18,32
1998,42,40
1997,44,38
1996,39,43
1995,21,61
1994,24,58
1993,22,60
1992,25,57
1991,30,52
1990,31,51
1989,40,42
1988,38,44
1987,42,40
1986,39,43
1985,40,42
1984,35,47
1983,42,40
1982,43,39
1981,39,43
1980,39,43
1979,54,28
1978,44,38
1977,48,34
1976,48,34
1975,60,22
1974,47,35
1973,52,30
1972,38,44
1971,42,40
1970,50,32
1969,57,25
1968,36,46
1967,20,61
1966,38,42
1965,37,43
1964,31,49
1963,25,55
1962,18,62
